room,tagId,entryTime,exitTime
305,1344,"10-24-2022, 10:01:32 PM","10-24-2022, 10:13:32 PM"
110,1363,"10-24-2022, 10:13:27 PM","10-24-2022, 10:28:27 PM"
208,1354,"10-24-2022, 10:29:27 PM","10-24-2022, 10:31:27 PM"
208,1346,"10-24-2022, 10:33:32 PM","10-24-2022, 10:45:32 PM"
306,1350,"10-24-2022, 10:45:27 PM","10-24-2022, 10:47:27 PM"
306,1344,"10-24-2022, 10:49:33 PM","10-24-2022, 11:01:33 PM"
301,9392,"10-24-2022, 11:01:23 PM","10-24-2022, 11:01:35 PM"
301,7966,"10-24-2022, 11:01:24 PM","10-24-2022, 11:01:35 PM"
301,7535,"10-24-2022, 11:01:25 PM","10-24-2022, 11:01:35 PM"
301,5917,"10-24-2022, 11:01:26 PM","10-24-2022, 11:01:35 PM"
301,1356,"10-24-2022, 11:01:27 PM","10-24-2022, 11:03:27 PM"
301,1346,"10-24-2022, 11:05:32 PM","10-24-2022, 11:17:32 PM"
207,1354,"10-24-2022, 11:17:27 PM","10-24-2022, 11:19:27 PM"
207,1348,"10-24-2022, 11:21:32 PM","10-24-2022, 11:33:32 PM"
105,1354,"10-24-2022, 11:33:27 PM","10-24-2022, 11:35:27 PM"
105,1348,"10-24-2022, 11:37:32 PM","10-24-2022, 11:49:32 PM"
105,1354,"10-24-2022, 9:41:27 PM","10-24-2022, 9:43:27 PM"
105,1344,"10-24-2022, 9:45:33 PM","10-24-2022, 9:57:33 PM"
305,1354,"10-24-2022, 9:57:27 PM","10-24-2022, 9:59:27 PM"
309,1360,"10-25-2022, 12:50:17 PM","10-25-2022, 1:05:17 PM"
110,1353,"10-25-2022, 1:06:17 PM","10-25-2022, 1:08:17 PM"
304,1347,"10-25-2022, 12:57:32 AM","10-25-2022, 1:09:32 AM"
203,1355,"10-25-2022, 1:09:27 AM","10-25-2022, 1:11:27 AM"
110,5871,"10-25-2022, 1:06:13 PM","10-25-2022, 1:22:15 PM"
