room,tagId,entryTime,exitTime
104,1314,"10-24-2022, 9:57:27 PM","10-24-2022, 10:12:27 PM"
210,1307,"10-24-2022, 10:13:27 PM","10-24-2022, 10:15:27 PM"
210,1305,"10-24-2022, 10:17:32 PM","10-24-2022, 10:29:32 PM"
206,1314,"10-24-2022, 10:29:27 PM","10-24-2022, 10:44:27 PM"
306,1308,"10-24-2022, 10:45:27 PM","10-24-2022, 10:47:27 PM"
306,1303,"10-24-2022, 10:49:33 PM","10-24-2022, 11:01:33 PM"
308,1307,"10-24-2022, 11:01:27 PM","10-24-2022, 11:03:27 PM"
308,1305,"10-24-2022, 11:05:32 PM","10-24-2022, 11:17:32 PM"
109,7543,"10-24-2022, 11:17:23 PM","10-24-2022, 11:17:35 PM"
109,4897,"10-24-2022, 11:17:24 PM","10-24-2022, 11:17:35 PM"
109,4854,"10-24-2022, 11:17:25 PM","10-24-2022, 11:17:35 PM"
109,9748,"10-24-2022, 11:17:26 PM","10-24-2022, 11:17:35 PM"
109,1310,"10-24-2022, 11:17:27 PM","10-24-2022, 11:19:27 PM"
109,1300,"10-24-2022, 11:21:32 PM","10-24-2022, 11:33:32 PM"
101,1316,"10-24-2022, 11:33:27 PM","10-24-2022, 11:48:27 PM"
204,1311,"10-24-2022, 11:49:27 PM","10-24-2022, 11:51:27 PM"
103,1312,"10-24-2022, 9:41:27 PM","10-24-2022, 9:43:27 PM"
103,1301,"10-24-2022, 9:45:32 PM","10-24-2022, 9:57:32 PM"
302,1314,"10-25-2022, 12:50:17 PM","10-25-2022, 1:05:17 PM"
204,1311,"10-25-2022, 1:06:17 PM","10-25-2022, 1:08:17 PM"
101,1317,"10-25-2022, 12:53:27 AM","10-25-2022, 1:08:27 AM"
210,1308,"10-25-2022, 1:09:27 AM","10-25-2022, 1:11:27 AM"
204,5928,"10-25-2022, 1:06:13 PM","10-25-2022, 1:22:13 PM"
204,1303,"10-25-2022, 1:10:23 PM","10-25-2022, 1:22:23 PM"
109,1310,"10-25-2022, 1:22:17 PM","10-25-2022, 1:24:17 PM"
210,1303,"10-25-2022, 1:13:33 AM","10-25-2022, 1:25:33 AM"
110,7983,"10-25-2022, 9:47:27 AM","10-25-2022, 10:03:29 AM"
110,7301,"10-25-2022, 9:47:28 AM","10-25-2022, 10:03:29 AM"
110,7862,"10-25-2022, 9:47:29 AM","10-25-2022, 10:03:29 AM"
110,1301,"10-25-2022, 9:51:36 AM","10-25-2022, 10:03:36 AM"
106,1310,"10-25-2022, 10:10:17 AM","10-25-2022, 10:12:17 AM"
201,1306,"10-25-2022, 10:12:10 PM","10-25-2022, 10:14:10 PM"
106,4533,"10-25-2022, 10:10:13 AM","10-25-2022, 10:26:14 AM"
106,8721,"10-25-2022, 10:10:14 AM","10-25-2022, 10:26:14 AM"
106,1304,"10-25-2022, 10:14:22 AM","10-25-2022, 10:26:22 AM"
201,5322,"10-25-2022, 10:12:06 PM","10-25-2022, 10:28:07 PM"
201,4431,"10-25-2022, 10:12:07 PM","10-25-2022, 10:28:07 PM"
201,1303,"10-25-2022, 10:16:15 PM","10-25-2022, 10:28:15 PM"
302,1310,"10-25-2022, 10:26:17 AM","10-25-2022, 10:28:17 AM"
306,1311,"10-25-2022, 10:28:10 PM","10-25-2022, 10:30:10 PM"
302,7115,"10-25-2022, 10:26:13 AM","10-25-2022, 10:42:13 AM"
302,1299,"10-25-2022, 10:30:22 AM","10-25-2022, 10:42:22 AM"
306,8429,"10-25-2022, 10:28:06 PM","10-25-2022, 10:44:08 PM"
306,7873,"10-25-2022, 10:28:07 PM","10-25-2022, 10:44:08 PM"
306,9308,"10-25-2022, 10:28:08 PM","10-25-2022, 10:44:08 PM"
306,1301,"10-25-2022, 10:32:15 PM","10-25-2022, 10:44:15 PM"
301,1312,"10-25-2022, 10:42:17 AM","10-25-2022, 10:44:17 AM"
301,1311,"10-25-2022, 10:44:10 PM","10-25-2022, 10:46:10 PM"
