room,tagId,entryTime,exitTime
110,1415,"10-24-2022, 10:01:32 PM","10-24-2022, 10:13:32 PM"
201,1417,"10-24-2022, 10:13:27 PM","10-24-2022, 10:15:27 PM"
201,1415,"10-24-2022, 10:17:32 PM","10-24-2022, 10:29:32 PM"
209,1428,"10-24-2022, 10:29:27 PM","10-24-2022, 10:44:27 PM"
305,1422,"10-24-2022, 10:45:27 PM","10-24-2022, 10:47:27 PM"
305,1412,"10-24-2022, 10:49:33 PM","10-24-2022, 11:01:33 PM"
204,1419,"10-24-2022, 11:01:27 PM","10-24-2022, 11:03:28 PM"
204,1411,"10-24-2022, 11:05:33 PM","10-24-2022, 11:17:33 PM"
306,1421,"10-24-2022, 11:17:27 PM","10-24-2022, 11:19:27 PM"
306,1415,"10-24-2022, 11:21:32 PM","10-24-2022, 11:33:32 PM"
301,9249,"10-24-2022, 11:33:23 PM","10-24-2022, 11:33:35 PM"
301,9786,"10-24-2022, 11:33:24 PM","10-24-2022, 11:33:35 PM"
301,4552,"10-24-2022, 11:33:25 PM","10-24-2022, 11:33:35 PM"
301,6324,"10-24-2022, 11:33:26 PM","10-24-2022, 11:33:35 PM"
301,1416,"10-24-2022, 11:33:27 PM","10-24-2022, 11:35:27 PM"
301,1410,"10-24-2022, 11:37:32 PM","10-24-2022, 11:49:32 PM"
307,1418,"10-24-2022, 11:49:27 PM","10-24-2022, 11:51:27 PM"
102,1429,"10-24-2022, 9:41:27 PM","10-24-2022, 9:56:27 PM"
110,1422,"10-24-2022, 9:57:27 PM","10-24-2022, 9:59:27 PM"
205,8520,"10-25-2022, 12:50:13 PM","10-25-2022, 1:06:14 PM"
205,7041,"10-25-2022, 12:50:14 PM","10-25-2022, 1:06:14 PM"
205,1415,"10-25-2022, 12:54:22 PM","10-25-2022, 1:06:22 PM"
104,1419,"10-25-2022, 1:06:17 PM","10-25-2022, 1:08:17 PM"
309,1425,"10-25-2022, 12:53:27 AM","10-25-2022, 1:08:27 AM"
108,1422,"10-25-2022, 1:09:27 AM","10-25-2022, 1:11:27 AM"
104,7625,"10-25-2022, 1:06:13 PM","10-25-2022, 1:22:16 PM"
104,5136,"10-25-2022, 1:06:16 PM","10-25-2022, 1:22:16 PM"
104,5954,"10-25-2022, 1:06:14 PM","10-25-2022, 1:22:16 PM"
104,6660,"10-25-2022, 1:06:15 PM","10-25-2022, 1:22:16 PM"
104,1414,"10-25-2022, 1:10:23 PM","10-25-2022, 1:22:23 PM"
306,1422,"10-25-2022, 1:22:17 PM","10-25-2022, 1:24:17 PM"
108,1409,"10-25-2022, 1:13:33 AM","10-25-2022, 1:25:33 AM"
207,1418,"10-25-2022, 1:25:27 AM","10-25-2022, 1:27:27 AM"
